Start Sample,Payload length,Bit Rate,Modulation,Code Rate,MAC1,MAC2,MAC3,Packet Type
12925,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
28845,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
43765,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
59685,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
74605,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
90526,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
105446,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
121366,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
136286,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
152206,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
167126,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
183046,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
197966,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
213886,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
228806,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
244726,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
259646,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
275566,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
290486,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
306406,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
321327,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
337247,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
352167,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
368087,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
383007,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
398927,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
413847,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
429767,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
444687,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
460607,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
475527,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
491447,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
506367,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
522287,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC05,Beacon
537207,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
553128,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
568048,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
583968,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
598888,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
614808,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
629728,2000.0,96,16-QAM,1/2,BEAC09BEAC04,BEAC08BEAC08,BEAC07BEAC07,Beacon
